職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
A,1F,,,,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,28,,0,0,0,0
B,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,公,2,,26,0,0,0
C,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
D,1F,,,,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,28,,0,0,0,0
E,1F,,,,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,28,,0,0,0,0
F,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,早,日,日,1,,26,1,0,0
G,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,公,日,日,日,公,公,公,公,日,6,,22,0,0,0
H,1F,,,,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,0,,28,0,0,0
I,1F,,,,公,日,日,日,日,公,公,日,日,日,日,日,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,4,,24,0,0,0
J,1F,,,,公,公,公,公,公,公,公,公,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,公,10,,18,0,0,0
K,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
L,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
M,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
N,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
O,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
P,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
Q,1F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
R,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
S,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
T,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
U,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
V,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
W,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
X,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
Y,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
Z,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AA,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AB,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AC,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AD,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AE,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AF,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AG,2F,,,,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,公,28,,0,0,0,0
AH,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AI,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AJ,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AK,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AL,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AM,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AN,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
AO,2F,,,,公,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,日,1,,27,0,0,0
日勤合計,,,,,1,36,36,36,36,35,35,36,36,37,37,37,36,37,37,37,37,37,37,36,37,37,37,36,36,35,36,35,,,,,,
早出合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
夜勤合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
明勤合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
