職員名,担当フロア,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,集計:公休,集計:祝日,集計:日勤,集計:早出,集計:夜勤,集計:明勤
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火(祝),水,木,金,土(祝),日(祝),月(祝),火(祝),水,,,,,,
A,,日,公,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
B,,日,日,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
C,1F,日,公,日,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,9,0,0,0,10,9
D,1F,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,育休,0,0,0,0,0,0
E,1F,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,公,夜,明,公,夜,明,公,公,夜,明,公,夜,明,公,夜,明,公,夜,10,0,0,0,10,8
F,1F,明,公,公,,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,公,公,,夜,明,公,夜,明,公,夜,明,公,10,0,0,0,8,8
G,1F,公,日,早,,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,9,0,0,0,9,9
H,1F,公,日,日,,,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,8,0,0,0,9,9
I,1F,夜,明,公,,,夜,明,公,夜,明,公,夜,明,公,,夜,明,公,夜,明,公,,,夜,明,公,夜,明,公,夜,明,7,0,0,0,8,8
J,1F,公,公,早,,,,,,,,,,,,,,,,,夜,明,公,,,,,,,,,,1,0,0,0,1,1
K,1F,早,夜,明,公,,,,,,,,公,,,,,,,,,公,,,,,,,,,,,3,0,0,0,0,0
L,1F,早,夜,明,公,,,,,,,,,,,,,,公,公,,夜,明,公,,,,,,,,,4,0,0,0,1,1
M,1F,公,早,夜,明,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
N,1F,日,公,公,,,,,,,,,,,,,,公,,,,,,,,,,,,,,,1,0,0,0,0,0
O,1F,明,公,公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
P,1F,公,早,夜,明,,,,,,公,,公,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1
Q,1F,日,日,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
R,2F,日,公,日,夜,明,公,夜,明,公,公,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,10,0,0,0,9,9
S,2F,明,公,日,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,9,0,0,0,10,9
T,2F,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,公,夜,明,公,公,夜,明,10,0,0,0,9,9
U,2F,夜,明,公,,夜,明,公,夜,明,公,夜,明,公,夜,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,9,0,0,0,10,8
V,2F,明,公,日,,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,9,0,0,0,9,9
W,2F,夜,明,公,,夜,明,公,夜,明,公,夜,明,公,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,9,0,0,0,9,9
X,2F,公,日,早,,,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,,夜,8,0,0,0,9,8
Y,2F,早,早,夜,明,,公,,,公,夜,明,公,夜,明,公,,夜,明,公,夜,明,公,夜,明,公,夜,明,公,夜,明,公,9,0,0,0,7,8
Z,2F,早,夜,明,公,,夜,明,公,夜,公,,夜,明,公,,,公,,,夜,明,公,夜,明,公,,,夜,明,公,,8,0,0,0,6,5
AA,2F,日,公,公,,,夜,公,,夜,明,公,,,夜,明,公,夜,明,公,,,,,,夜,明,公,,公,,,6,0,0,0,5,4
AB,2F,明,公,公,,,公,公,,,,,,,,,,,,,,,,,,,,,,夜,明,公,3,0,0,0,1,1
AC,2F,公,日,日,,,,,,,公,公,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
AD,2F,早,夜,明,公,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
AE,2F,日,早,夜,明,,,,,,,公,,,,,,,,公,,,,,,,,,,,,,2,0,0,0,0,1
AF,2F,公,早,夜,明,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
AG,2F,日,日,日,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,病休,0,0,0,0,0,0
AH,2F,公,日,日,,,,,,,,,,,,,,,,,,,,,,,,,公,,公,,2,0,0,0,0,0
AI,2F,公,公,早,,,,,,,,,,,公,公,,,,,,,,,,,,,,,,,2,0,0,0,0,0
AJ,2F,公,日,早,,公,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
AK,2F,公,日,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
AL,2F,日,公,公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
AM,1F,公,夜,明,公,,,,,,,,,,,,,,,,,,公,,,,,,,,,公,3,0,0,0,0,0
AN,2F,公,日,日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
AO,2F,公,公,公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
日勤合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
早出合計,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
夜勤合計,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
明勤合計,,,,,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
